,time,open,high,low,close,tick_volume,spread,real_volume
0,2025-11-04 06:08:00,3993.33,3993.58,3992.16,3992.63,79,16,0
1,2025-11-04 06:09:00,3992.72,3992.79,3991.84,3991.95,71,17,0
2,2025-11-04 06:10:00,3991.91,3991.97,3989.75,3989.76,75,16,0
3,2025-11-04 06:11:00,3989.71,3989.78,3988.24,3988.64,84,16,0
4,2025-11-04 06:12:00,3988.53,3990.39,3988.37,3989.86,80,16,0
5,2025-11-04 06:13:00,3989.98,3990.04,3988.74,3988.78,58,17,0
6,2025-11-04 06:14:00,3988.77,3989.49,3988.29,3988.75,52,17,0
7,2025-11-04 06:15:00,3988.76,3989.51,3988.26,3989.51,71,17,0
8,2025-11-04 06:16:00,3989.53,3989.53,3988.47,3988.6,65,17,0
9,2025-11-04 06:17:00,3988.62,3989.85,3987.95,3989.84,57,17,0
10,2025-11-04 06:18:00,3989.71,3989.76,3989.13,3989.76,66,17,0
11,2025-11-04 06:19:00,3989.77,3990.51,3989.3,3990.51,77,17,0
12,2025-11-04 06:20:00,3990.61,3991.78,3990.22,3991.78,59,17,0
13,2025-11-04 06:21:00,3991.71,3991.71,3989.37,3989.59,68,17,0
14,2025-11-04 06:22:00,3989.57,3990.87,3989.35,3990.81,54,17,0
15,2025-11-04 06:23:00,3990.68,3991.01,3990.45,3990.91,49,17,0
16,2025-11-04 06:24:00,3991.19,3991.19,3989.7,3990.8,67,17,0
17,2025-11-04 06:25:00,3990.79,3991.5,3989.81,3991.16,73,17,0
18,2025-11-04 06:26:00,3991.0,3991.95,3990.77,3991.69,67,17,0
19,2025-11-04 06:27:00,3991.67,3992.53,3991.4,3992.53,76,17,0
20,2025-11-04 06:28:00,3992.4,3992.98,3992.06,3992.75,80,17,0
21,2025-11-04 06:29:00,3992.73,3992.77,3991.48,3991.89,69,17,0
22,2025-11-04 06:30:00,3991.75,3992.85,3991.75,3992.82,55,17,0
23,2025-11-04 06:31:00,3992.75,3993.38,3991.5,3991.89,76,17,0
24,2025-11-04 06:32:00,3992.05,3993.13,3991.9,3992.88,81,17,0
25,2025-11-04 06:33:00,3992.61,3993.02,3991.36,3992.6,88,17,0
26,2025-11-04 06:34:00,3992.62,3992.87,3991.47,3991.55,91,17,0
27,2025-11-04 06:35:00,3991.77,3992.51,3991.36,3991.55,84,16,0
28,2025-11-04 06:36:00,3991.39,3992.56,3991.06,3991.06,84,16,0
29,2025-11-04 06:37:00,3991.07,3992.07,3990.42,3991.72,82,17,0
30,2025-11-04 06:38:00,3991.76,3992.28,3990.81,3991.15,77,17,0
31,2025-11-04 06:39:00,3991.35,3992.38,3991.22,3991.26,76,16,0
32,2025-11-04 06:40:00,3991.24,3991.24,3990.13,3990.82,63,17,0
33,2025-11-04 06:41:00,3990.87,3991.07,3989.2,3989.3,65,16,0
34,2025-11-04 06:42:00,3989.17,3989.56,3989.1,3989.1,51,16,0
35,2025-11-04 06:43:00,3989.09,3989.28,3988.52,3988.68,51,16,0
36,2025-11-04 06:44:00,3988.66,3988.66,3988.03,3988.24,57,16,0
37,2025-11-04 06:45:00,3988.18,3988.98,3986.2,3987.01,83,17,0
38,2025-11-04 06:46:00,3986.96,3987.09,3985.94,3986.07,81,17,0
39,2025-11-04 06:47:00,3986.04,3986.98,3984.56,3984.56,77,16,0
40,2025-11-04 06:48:00,3984.43,3985.2,3983.58,3985.0,85,16,0
41,2025-11-04 06:49:00,3984.96,3985.97,3984.66,3985.97,71,17,0
42,2025-11-04 06:50:00,3985.98,3987.54,3985.95,3987.11,76,17,0
43,2025-11-04 06:51:00,3987.17,3989.25,3987.1,3989.22,77,17,0
44,2025-11-04 06:52:00,3989.25,3990.41,3988.26,3988.26,84,17,0
45,2025-11-04 06:53:00,3988.32,3989.09,3987.39,3989.04,68,17,0
46,2025-11-04 06:54:00,3988.88,3990.3,3988.64,3990.3,67,17,0
47,2025-11-04 06:55:00,3990.34,3991.38,3989.98,3990.04,73,17,0
48,2025-11-04 06:56:00,3990.01,3990.09,3988.89,3989.42,70,17,0
49,2025-11-04 06:57:00,3989.42,3989.42,3988.49,3988.7,75,17,0
50,2025-11-04 06:58:00,3988.52,3989.45,3986.08,3986.08,79,16,0
51,2025-11-04 06:59:00,3986.06,3986.06,3984.82,3985.51,74,17,0
52,2025-11-04 07:00:00,3985.09,3986.76,3984.84,3985.48,77,17,0
53,2025-11-04 07:01:00,3985.43,3985.52,3982.3,3983.2,65,14,0
54,2025-11-04 07:02:00,3983.35,3984.1,3982.71,3983.2,77,16,0
55,2025-11-04 07:03:00,3983.15,3985.55,3983.0,3985.01,87,16,0
56,2025-11-04 07:04:00,3984.96,3984.98,3983.94,3984.31,69,17,0
57,2025-11-04 07:05:00,3984.26,3984.6,3980.83,3981.56,86,17,0
58,2025-11-04 07:06:00,3981.55,3982.74,3981.49,3982.18,69,7,0
59,2025-11-04 07:07:00,3982.08,3983.05,3981.69,3982.42,80,17,0
60,2025-11-04 07:08:00,3982.44,3983.0,3982.0,3982.05,63,17,0
61,2025-11-04 07:09:00,3982.05,3983.89,3982.05,3983.67,74,17,0
62,2025-11-04 07:10:00,3983.67,3985.11,3983.47,3984.54,83,17,0
63,2025-11-04 07:11:00,3984.52,3986.3,3984.52,3985.94,81,17,0
64,2025-11-04 07:12:00,3985.96,3986.63,3983.94,3984.1,80,17,0
65,2025-11-04 07:13:00,3984.12,3984.94,3983.61,3984.78,63,17,0
66,2025-11-04 07:14:00,3984.69,3985.2,3983.69,3983.82,58,17,0
67,2025-11-04 07:15:00,3983.82,3985.24,3983.74,3984.85,62,17,0
68,2025-11-04 07:16:00,3984.79,3984.98,3984.34,3984.66,54,17,0
69,2025-11-04 07:17:00,3984.36,3986.03,3984.33,3985.89,49,17,0
70,2025-11-04 07:18:00,3986.07,3986.39,3985.68,3986.31,66,17,0
71,2025-11-04 07:19:00,3986.21,3986.26,3984.39,3984.39,82,17,0
72,2025-11-04 07:20:00,3984.44,3985.59,3984.42,3984.71,68,17,0
73,2025-11-04 07:21:00,3984.72,3984.91,3984.15,3984.16,61,17,0
74,2025-11-04 07:22:00,3984.15,3984.37,3983.52,3983.64,56,17,0
75,2025-11-04 07:23:00,3983.62,3984.6,3983.33,3983.83,81,17,0
76,2025-11-04 07:24:00,3983.9,3985.17,3983.51,3984.8,77,17,0
77,2025-11-04 07:25:00,3984.72,3985.97,3984.56,3985.96,71,17,0
78,2025-11-04 07:26:00,3985.91,3986.92,3985.17,3986.86,63,17,0
79,2025-11-04 07:27:00,3986.86,3986.93,3985.92,3985.92,77,17,0
80,2025-11-04 07:28:00,3985.91,3986.6,3984.73,3985.55,78,16,0
81,2025-11-04 07:29:00,3985.52,3985.52,3982.94,3983.04,74,16,0
82,2025-11-04 07:30:00,3983.01,3985.37,3981.33,3984.37,95,16,0
83,2025-11-04 07:31:00,3984.38,3985.57,3983.0,3983.03,80,16,0
84,2025-11-04 07:32:00,3982.47,3982.78,3980.72,3980.87,89,17,0
85,2025-11-04 07:33:00,3981.06,3981.97,3980.5,3980.53,72,17,0
86,2025-11-04 07:34:00,3979.96,3980.35,3978.44,3979.38,89,17,0
87,2025-11-04 07:35:00,3979.67,3980.45,3977.91,3979.55,94,17,0
88,2025-11-04 07:36:00,3979.54,3982.1,3978.67,3981.92,90,17,0
89,2025-11-04 07:37:00,3981.93,3982.46,3979.99,3981.6,79,12,0
90,2025-11-04 07:38:00,3981.61,3981.9,3979.99,3980.83,78,17,0
91,2025-11-04 07:39:00,3981.21,3981.28,3979.82,3980.28,71,17,0
92,2025-11-04 07:40:00,3980.44,3981.36,3977.5,3978.31,79,17,0
93,2025-11-04 07:41:00,3978.37,3979.17,3977.46,3979.08,87,17,0
94,2025-11-04 07:42:00,3979.03,3979.32,3976.77,3976.81,87,17,0
95,2025-11-04 07:43:00,3976.79,3979.64,3975.99,3978.6,97,17,0
96,2025-11-04 07:44:00,3978.6,3978.78,3976.16,3976.4,88,17,0
97,2025-11-04 07:45:00,3976.43,3976.43,3973.55,3976.01,98,5,0
98,2025-11-04 07:46:00,3976.47,3979.04,3976.39,3978.74,91,18,0
99,2025-11-04 07:47:00,3978.79,3980.76,3978.74,3979.53,87,17,0
100,2025-11-04 07:48:00,3979.66,3981.34,3978.29,3980.77,94,17,0
101,2025-11-04 07:49:00,3980.81,3980.81,3978.37,3979.61,86,17,0
102,2025-11-04 07:50:00,3979.7,3981.63,3978.64,3978.84,91,17,0
103,2025-11-04 07:51:00,3978.81,3978.91,3976.66,3977.43,82,17,0
104,2025-11-04 07:52:00,3977.34,3978.17,3976.67,3977.47,90,17,0
105,2025-11-04 07:53:00,3977.48,3980.29,3977.48,3980.22,89,17,0
106,2025-11-04 07:54:00,3980.16,3980.78,3978.41,3980.53,84,17,0
107,2025-11-04 07:55:00,3980.42,3980.76,3979.14,3979.22,75,17,0
108,2025-11-04 07:56:00,3979.02,3980.45,3976.8,3977.09,83,17,0
109,2025-11-04 07:57:00,3977.1,3979.45,3976.62,3977.56,86,17,0
110,2025-11-04 07:58:00,3977.37,3977.5,3974.09,3974.92,92,18,0
111,2025-11-04 07:59:00,3974.71,3975.82,3973.08,3973.45,92,18,0
112,2025-11-04 08:00:00,3973.44,3974.23,3971.03,3973.09,100,5,0
113,2025-11-04 08:01:00,3972.77,3973.44,3971.17,3972.08,87,17,0
114,2025-11-04 08:02:00,3972.06,3972.61,3969.88,3972.61,93,17,0
115,2025-11-04 08:03:00,3972.13,3973.04,3969.75,3970.53,84,17,0
116,2025-11-04 08:04:00,3970.37,3971.9,3968.59,3971.9,91,17,0
117,2025-11-04 08:05:00,3971.8,3972.57,3969.45,3970.28,92,17,0
118,2025-11-04 08:06:00,3970.33,3970.9,3968.62,3968.75,85,17,0
119,2025-11-04 08:07:00,3968.75,3969.39,3966.91,3969.39,86,17,0
120,2025-11-04 08:08:00,3969.4,3973.21,3968.88,3973.21,88,17,0
121,2025-11-04 08:09:00,3973.28,3974.52,3972.11,3972.91,87,16,0
122,2025-11-04 08:10:00,3972.59,3974.62,3972.59,3973.27,90,16,0
123,2025-11-04 08:11:00,3973.41,3975.2,3972.01,3972.31,76,16,0
124,2025-11-04 08:12:00,3972.24,3972.26,3969.03,3970.37,91,16,0
125,2025-11-04 08:13:00,3970.0,3973.02,3970.0,3973.0,87,13,0
126,2025-11-04 08:14:00,3972.93,3974.67,3972.73,3974.55,88,16,0
127,2025-11-04 08:15:00,3974.58,3975.16,3974.03,3974.03,80,16,0
128,2025-11-04 08:16:00,3973.44,3976.03,3973.44,3975.15,84,16,0
129,2025-11-04 08:17:00,3975.18,3975.85,3974.67,3974.73,86,14,0
130,2025-11-04 08:18:00,3974.28,3975.63,3973.13,3975.63,74,16,0
131,2025-11-04 08:19:00,3975.58,3975.93,3974.31,3974.9,82,17,0
132,2025-11-04 08:20:00,3974.88,3974.88,3973.8,3974.07,81,16,0
133,2025-11-04 08:21:00,3974.09,3974.78,3972.41,3972.41,81,16,0
134,2025-11-04 08:22:00,3972.44,3972.73,3971.19,3971.88,80,16,0
135,2025-11-04 08:23:00,3971.86,3972.17,3970.7,3971.94,85,16,0
136,2025-11-04 08:24:00,3971.99,3972.79,3968.65,3969.72,94,17,0
137,2025-11-04 08:25:00,3969.55,3971.19,3969.46,3971.16,87,17,0
138,2025-11-04 08:26:00,3971.11,3972.32,3970.26,3972.16,78,5,0
139,2025-11-04 08:27:00,3972.18,3974.23,3971.14,3973.93,84,17,0
140,2025-11-04 08:28:00,3973.91,3975.5,3973.17,3975.38,83,16,0
141,2025-11-04 08:29:00,3975.23,3976.08,3974.1,3975.62,86,16,0
142,2025-11-04 08:30:00,3975.73,3975.73,3973.78,3975.2,86,16,0
143,2025-11-04 08:31:00,3975.18,3977.76,3975.11,3976.55,89,17,0
144,2025-11-04 08:32:00,3976.59,3978.57,3976.59,3977.73,89,16,0
145,2025-11-04 08:33:00,3977.7,3978.71,3976.32,3976.32,87,16,0
146,2025-11-04 08:34:00,3976.5,3977.97,3976.12,3977.21,90,16,0
147,2025-11-04 08:35:00,3977.12,3977.76,3976.36,3977.33,82,16,0
148,2025-11-04 08:36:00,3977.79,3978.38,3975.96,3976.94,80,5,0
149,2025-11-04 08:37:00,3976.93,3977.38,3975.6,3976.25,78,16,0
150,2025-11-04 08:38:00,3976.08,3976.67,3975.39,3976.67,71,16,0
151,2025-11-04 08:39:00,3976.78,3978.44,3976.31,3978.15,82,16,0
152,2025-11-04 08:40:00,3978.23,3979.41,3978.04,3978.23,88,16,0
153,2025-11-04 08:41:00,3978.61,3980.17,3978.42,3979.85,82,16,0
154,2025-11-04 08:42:00,3979.94,3980.83,3978.78,3979.44,89,16,0
155,2025-11-04 08:43:00,3979.13,3979.34,3977.98,3978.97,88,17,0
156,2025-11-04 08:44:00,3978.86,3979.7,3978.82,3979.47,76,17,0
157,2025-11-04 08:45:00,3979.48,3980.51,3979.14,3979.63,86,16,0
158,2025-11-04 08:46:00,3979.23,3981.2,3979.23,3981.17,83,16,0
159,2025-11-04 08:47:00,3981.05,3982.82,3980.34,3980.41,86,17,0
160,2025-11-04 08:48:00,3980.44,3980.82,3978.22,3978.51,80,17,0
161,2025-11-04 08:49:00,3978.45,3979.58,3977.69,3979.58,88,16,0
162,2025-11-04 08:50:00,3979.46,3980.51,3979.37,3980.15,80,16,0
163,2025-11-04 08:51:00,3980.11,3981.1,3979.95,3980.17,86,17,0
164,2025-11-04 08:52:00,3980.13,3981.94,3980.13,3980.73,82,15,0
165,2025-11-04 08:53:00,3980.78,3983.54,3980.78,3983.49,80,8,0
166,2025-11-04 08:54:00,3983.88,3984.71,3983.21,3984.57,89,17,0
167,2025-11-04 08:55:00,3984.59,3987.38,3984.59,3987.38,93,17,0
168,2025-11-04 08:56:00,3987.82,3987.82,3984.66,3985.06,93,17,0
169,2025-11-04 08:57:00,3985.17,3986.36,3985.07,3985.64,78,17,0
170,2025-11-04 08:58:00,3985.62,3986.46,3985.21,3985.8,81,17,0
171,2025-11-04 08:59:00,3986.01,3986.06,3985.18,3985.24,72,17,0
172,2025-11-04 09:00:00,3985.23,3985.23,3982.39,3982.75,86,17,0
173,2025-11-04 09:01:00,3982.77,3984.31,3982.33,3983.85,87,17,0
174,2025-11-04 09:02:00,3983.74,3984.92,3983.43,3984.18,78,16,0
175,2025-11-04 09:03:00,3983.94,3985.57,3983.01,3985.27,83,16,0
176,2025-11-04 09:04:00,3985.17,3986.19,3984.14,3985.83,84,16,0
177,2025-11-04 09:05:00,3985.83,3986.29,3984.31,3985.34,81,17,0
178,2025-11-04 09:06:00,3985.42,3985.99,3985.05,3985.5,80,5,0
179,2025-11-04 09:07:00,3985.34,3987.32,3984.67,3985.81,83,9,0
180,2025-11-04 09:08:00,3985.93,3987.03,3985.86,3986.31,80,13,0
181,2025-11-04 09:09:00,3986.58,3988.32,3986.21,3986.71,91,17,0
182,2025-11-04 09:10:00,3986.75,3989.78,3986.47,3988.9,87,17,0
183,2025-11-04 09:11:00,3988.94,3990.0,3988.4,3988.56,85,17,0
184,2025-11-04 09:12:00,3988.53,3989.48,3987.03,3987.12,81,17,0
185,2025-11-04 09:13:00,3987.07,3987.2,3985.33,3986.43,93,17,0
186,2025-11-04 09:14:00,3986.28,3987.72,3985.49,3987.1,88,17,0
187,2025-11-04 09:15:00,3987.29,3987.74,3985.76,3986.38,82,16,0
188,2025-11-04 09:16:00,3986.38,3989.66,3986.27,3988.44,83,16,0
189,2025-11-04 09:17:00,3988.6,3989.33,3987.86,3988.15,86,17,0
190,2025-11-04 09:18:00,3988.36,3990.61,3987.56,3990.61,86,5,0
191,2025-11-04 09:19:00,3990.51,3992.09,3989.76,3990.86,89,16,0
192,2025-11-04 09:20:00,3990.73,3996.34,3990.73,3993.84,95,16,0
193,2025-11-04 09:21:00,3993.74,3994.48,3992.1,3992.1,91,16,0
194,2025-11-04 09:22:00,3991.79,3993.09,3991.45,3992.33,87,16,0
195,2025-11-04 09:23:00,3992.29,3992.65,3991.64,3992.09,72,16,0
196,2025-11-04 09:24:00,3992.34,3992.34,3989.92,3990.02,75,16,0
197,2025-11-04 09:25:00,3990.15,3993.0,3989.66,3992.81,83,17,0
198,2025-11-04 09:26:00,3992.81,3994.39,3992.17,3992.54,82,16,0
199,2025-11-04 09:27:00,3992.35,3995.49,3992.35,3994.96,88,16,0
200,2025-11-04 09:28:00,3994.98,3995.38,3993.61,3994.35,86,17,0
