,time,open,high,low,close,tick_volume,spread,real_volume
0,2025-10-30 07:30:00,3950.36,3955.09,3947.18,3955.04,462,18,0
1,2025-10-30 07:35:00,3955.02,3959.25,3954.76,3957.7,432,18,0
2,2025-10-30 07:40:00,3957.73,3963.58,3957.69,3962.59,432,17,0
3,2025-10-30 07:45:00,3962.57,3970.78,3961.29,3968.5,431,17,0
4,2025-10-30 07:50:00,3968.5,3973.61,3964.76,3965.36,461,7,0
5,2025-10-30 07:55:00,3965.15,3965.42,3961.01,3963.64,373,5,0
6,2025-10-30 08:00:00,3963.69,3970.84,3961.07,3966.88,410,5,0
7,2025-10-30 08:05:00,3966.81,3969.82,3962.55,3965.0,421,15,0
8,2025-10-30 08:10:00,3964.82,3965.98,3956.5,3962.11,431,16,0
9,2025-10-30 08:15:00,3961.99,3966.82,3958.96,3966.14,411,15,0
10,2025-10-30 08:20:00,3966.09,3970.76,3958.78,3962.84,445,17,0
11,2025-10-30 08:25:00,3963.22,3967.14,3960.18,3965.04,403,16,0
12,2025-10-30 08:30:00,3965.66,3968.17,3960.65,3961.81,418,17,0
13,2025-10-30 08:35:00,3961.49,3964.26,3956.66,3961.08,417,17,0
14,2025-10-30 08:40:00,3961.06,3965.79,3960.01,3965.68,406,17,0
15,2025-10-30 08:45:00,3965.7,3968.17,3962.06,3967.33,366,16,0
16,2025-10-30 08:50:00,3967.32,3967.84,3963.91,3965.87,376,16,0
17,2025-10-30 08:55:00,3966.33,3976.95,3965.81,3976.72,429,13,0
18,2025-10-30 09:00:00,3975.72,3977.11,3971.01,3974.83,412,14,0
19,2025-10-30 09:05:00,3974.57,3974.62,3969.3,3970.25,410,17,0
20,2025-10-30 09:10:00,3970.18,3975.51,3969.76,3970.21,410,13,0
21,2025-10-30 09:15:00,3970.21,3972.51,3967.43,3968.85,403,16,0
22,2025-10-30 09:20:00,3968.83,3972.22,3968.42,3968.73,351,12,0
23,2025-10-30 09:25:00,3968.73,3968.8,3959.99,3968.03,429,5,0
24,2025-10-30 09:30:00,3968.23,3969.88,3960.97,3961.65,375,16,0
25,2025-10-30 09:35:00,3961.59,3965.35,3958.76,3963.42,406,16,0
26,2025-10-30 09:40:00,3963.38,3965.98,3960.75,3961.74,383,18,0
27,2025-10-30 09:45:00,3961.79,3961.98,3958.86,3959.94,390,18,0
28,2025-10-30 09:50:00,3959.92,3960.72,3957.64,3958.92,332,18,0
29,2025-10-30 09:55:00,3958.94,3961.61,3955.94,3961.58,382,17,0
30,2025-10-30 10:00:00,3961.53,3967.26,3960.08,3964.41,448,16,0
31,2025-10-30 10:05:00,3964.43,3966.25,3961.02,3965.03,427,16,0
32,2025-10-30 10:10:00,3965.01,3969.52,3964.17,3965.49,431,16,0
33,2025-10-30 10:15:00,3965.6,3971.7,3964.28,3969.25,401,18,0
34,2025-10-30 10:20:00,3969.25,3970.06,3966.36,3967.99,369,18,0
35,2025-10-30 10:25:00,3967.69,3974.25,3967.36,3972.95,400,9,0
36,2025-10-30 10:30:00,3972.94,3973.87,3968.95,3971.53,412,17,0
37,2025-10-30 10:35:00,3971.4,3971.81,3968.41,3971.72,364,6,0
38,2025-10-30 10:40:00,3971.74,3975.02,3970.19,3974.02,402,16,0
39,2025-10-30 10:45:00,3974.18,3974.31,3971.55,3971.67,411,17,0
40,2025-10-30 10:50:00,3971.72,3974.83,3971.7,3973.35,386,18,0
41,2025-10-30 10:55:00,3973.38,3976.72,3972.43,3976.53,396,18,0
42,2025-10-30 11:00:00,3976.42,3990.25,3976.0,3989.49,467,9,0
43,2025-10-30 11:05:00,3989.45,3997.68,3989.1,3994.97,453,12,0
44,2025-10-30 11:10:00,3994.98,4006.41,3994.97,4004.91,469,8,0
45,2025-10-30 11:15:00,4004.86,4011.8,4002.38,4004.49,452,9,0
46,2025-10-30 11:20:00,4004.44,4008.27,4000.6,4000.91,421,5,0
47,2025-10-30 11:25:00,4000.88,4004.67,3999.86,4004.44,404,17,0
48,2025-10-30 11:30:00,4004.39,4005.59,4001.26,4001.76,412,17,0
49,2025-10-30 11:35:00,4002.03,4007.13,4001.67,4005.56,431,17,0
50,2025-10-30 11:40:00,4005.59,4005.95,4000.23,4005.83,423,16,0
51,2025-10-30 11:45:00,4005.67,4006.28,3995.18,3995.73,389,16,0
52,2025-10-30 11:50:00,3995.73,4000.5,3992.66,3997.66,427,6,0
53,2025-10-30 11:55:00,3997.62,4000.63,3996.76,3998.62,404,17,0
54,2025-10-30 12:00:00,3998.16,4001.01,3996.18,3998.33,399,5,0
55,2025-10-30 12:05:00,3998.15,3999.78,3997.19,3997.57,387,17,0
56,2025-10-30 12:10:00,3997.4,3999.07,3996.66,3998.13,344,17,0
57,2025-10-30 12:15:00,3998.14,3998.98,3993.63,3993.63,351,17,0
58,2025-10-30 12:20:00,3993.59,3993.6,3982.72,3986.16,446,7,0
59,2025-10-30 12:25:00,3986.3,3990.56,3985.67,3987.25,417,15,0
60,2025-10-30 12:30:00,3986.33,3988.54,3979.69,3979.73,450,5,0
61,2025-10-30 12:35:00,3979.85,3981.2,3973.77,3981.02,472,8,0
62,2025-10-30 12:40:00,3981.25,3983.79,3979.29,3982.12,407,5,0
63,2025-10-30 12:45:00,3982.26,3984.16,3979.67,3982.0,405,16,0
64,2025-10-30 12:50:00,3982.09,3987.18,3981.13,3985.92,416,16,0
65,2025-10-30 12:55:00,3985.87,3986.5,3982.08,3984.26,388,14,0
66,2025-10-30 13:00:00,3984.31,3984.88,3981.25,3982.54,403,17,0
67,2025-10-30 13:05:00,3982.04,3983.18,3978.73,3978.74,419,16,0
68,2025-10-30 13:10:00,3978.91,3981.69,3976.88,3977.2,414,5,0
69,2025-10-30 13:15:00,3977.1,3977.7,3971.54,3971.86,449,6,0
70,2025-10-30 13:20:00,3972.02,3972.67,3963.78,3970.71,449,16,0
71,2025-10-30 13:25:00,3970.84,3970.87,3965.23,3965.94,413,6,0
72,2025-10-30 13:30:00,3965.64,3972.43,3965.22,3972.06,428,16,0
73,2025-10-30 13:35:00,3972.1,3976.42,3971.43,3973.22,416,16,0
74,2025-10-30 13:40:00,3973.25,3973.8,3969.96,3973.34,386,16,0
75,2025-10-30 13:45:00,3973.31,3976.2,3971.26,3973.18,379,5,0
76,2025-10-30 13:50:00,3973.18,3973.99,3971.0,3973.12,351,16,0
77,2025-10-30 13:55:00,3973.12,3976.5,3972.77,3974.35,363,16,0
78,2025-10-30 14:00:00,3974.45,3982.13,3973.6,3978.25,441,10,0
79,2025-10-30 14:05:00,3978.74,3981.72,3978.15,3979.42,382,17,0
80,2025-10-30 14:10:00,3979.61,3982.65,3973.84,3982.26,413,13,0
81,2025-10-30 14:15:00,3982.28,3985.04,3979.99,3980.44,429,17,0
82,2025-10-30 14:20:00,3980.5,3984.49,3977.56,3977.85,427,7,0
83,2025-10-30 14:25:00,3978.49,3980.54,3970.93,3970.93,426,17,0
84,2025-10-30 14:30:00,3970.86,3974.7,3966.88,3971.61,470,16,0
85,2025-10-30 14:35:00,3971.74,3979.41,3971.53,3976.79,442,12,0
86,2025-10-30 14:40:00,3976.64,3980.17,3976.16,3977.21,416,16,0
87,2025-10-30 14:45:00,3976.4,3978.84,3967.38,3967.38,453,16,0
88,2025-10-30 14:50:00,3967.47,3974.2,3966.99,3972.32,424,5,0
89,2025-10-30 14:55:00,3972.05,3973.38,3960.84,3961.47,461,8,0
90,2025-10-30 15:00:00,3961.64,3975.68,3959.93,3974.3,481,8,0
91,2025-10-30 15:05:00,3974.49,3976.88,3970.87,3972.42,454,16,0
92,2025-10-30 15:10:00,3972.41,3977.99,3971.83,3975.63,397,16,0
93,2025-10-30 15:15:00,3975.69,3976.36,3971.39,3973.85,406,10,0
94,2025-10-30 15:20:00,3973.84,3976.19,3970.83,3975.57,439,16,0
95,2025-10-30 15:25:00,3975.27,3976.19,3969.44,3970.03,448,5,0
96,2025-10-30 15:30:00,3969.65,3978.83,3966.87,3969.27,488,9,0
