time,open,high,low,close,tick_volume,spread,real_volume,atr,rsi,ema_fast,ema_slow,vwap,signal,stop_loss,take_profit_1,take_profit_2,returns,strategy_returns,cumulative
2025-08-21 13:30:00,3339.4,3339.4,3329.01,3330.52,895,5,0,,,3330.52,3330.52,3332.976666666667,hold,,,,,,
2025-08-21 13:45:00,3330.49,3331.66,3327.55,3328.4,976,10,0,,,3330.436862745098,3330.498905472637,3331.0083217530732,hold,,,,-0.0006365372374284028,-0.0,1.0
2025-08-21 14:00:00,3328.95,3329.67,3325.17,3329.45,978,17,0,,,3330.39816224529,3330.4884686022624,3330.0088136188133,hold,,,,0.0003154668909985947,0.0,1.0
2025-08-21 14:15:00,3329.46,3332.77,3328.86,3331.05,866,9,0,,,3330.423724510181,3330.4940559793545,3330.2150031404217,hold,,,,0.0004805598522279464,0.0,1.0
2025-08-21 14:30:00,3331.06,3334.23,3330.16,3333.74,829,16,0,,,3330.553774529389,3330.526353929809,3330.670186326291,hold,,,,0.0008075531739240027,0.0,1.0
2025-08-21 14:45:00,3333.72,3334.36,3332.24,3333.6,787,14,0,,,3330.673234351766,3330.556937472796,3331.073180766585,hold,,,,-4.199487662503998e-05,-0.0,1.0
2025-08-21 15:00:00,3333.59,3342.76,3333.59,3341.44,1032,5,0,,,3331.095460455618,3330.6652266521714,3332.4015223427105,hold,,,,0.002351811855051622,0.0,1.0
2025-08-21 15:15:00,3341.45,3342.14,3336.39,3337.83,1071,7,0,,,3331.359560045594,3330.7365179292647,3333.3214160165007,hold,,,,-0.001080372533997398,-0.0,1.0
2025-08-21 15:30:00,3338.88,3345.04,3336.7,3339.18,1167,11,0,,,3331.666243965375,3330.8205326762372,3334.2691880789052,hold,,,,0.000404454391026432,0.0,1.0
2025-08-21 15:45:00,3339.21,3343.24,3337.85,3341.96,995,15,0,,,3332.0699206726154,3330.93137314712,3334.968827636515,hold,,,,0.0008325397253219347,0.0,1.0
2025-08-21 16:00:00,3341.88,3343.49,3339.2,3342.22,1067,5,0,,,3332.4679629991797,3331.043697792423,3335.636049266935,hold,,,,7.77986570754674e-05,0.0,1.0
2025-08-21 16:15:00,3342.19,3345.45,3341.37,3345.27,1034,13,0,,,3332.9700036658783,3331.1852530382694,3336.378063891026,hold,,,,0.0009125670961218635,0.0,1.0
2025-08-21 16:30:00,3345.44,3347.42,3344.82,3345.26,1127,5,0,,,3333.451964306432,3331.3253002717197,3337.2090127885212,hold,,,,-2.9892953333776617e-06,-0.0,1.0
2025-08-21 16:45:00,3341.09,3341.36,3336.25,3339.35,1273,7,0,5.552142857142859,63.62233878432578,3333.6832598238266,3331.40514803021,3337.3695400912725,hold,,,,-0.0017666788231708308,-0.0,1.0
2025-08-21 17:00:00,3339.44,3345.43,3337.96,3344.88,1213,7,0,5.343571428571424,68.92461781760689,3334.1223476738724,3331.539226159263,3337.796358153712,hold,,,,0.0016560109003249668,0.0,1.0
