time,open,high,low,close,signal,position,strategy_returns,rsi,macd_histogram,price_momentum,ema_fast,ema_slow,cumulative
2025-06-06 05:30:00,3363.82,3364.87,3362.33,3363.92,hold,0.0,0.0,,0.0,,3363.92,3363.92,1.0
2025-06-06 05:45:00,3363.93,3366.48,3362.74,3363.95,hold,0.0,0.0,,0.00029914529922179,,3363.9368750000003,3363.935714285714,1.0
2025-06-06 06:00:00,3363.93,3364.0,3359.47,3361.4,hold,0.0,0.0,,-0.04638195468793189,,3362.872176165803,3363.0087613293053,1.0
2025-06-06 06:15:00,3361.47,3367.19,3361.4,3366.68,hold,0.0,0.0,,0.07292642486483014,0.0008204713548478626,3364.2067451923076,3364.0616418875247,1.0
2025-06-06 06:30:00,3366.72,3370.63,3366.64,3370.18,hold,0.0,0.0,,0.2077212321336417,0.001851989476656879,3366.0622693054306,3365.5289213935894,1.0
2025-06-06 06:45:00,3370.21,3371.83,3369.12,3369.72,hold,0.0,0.0,,0.23056095460247036,0.00247515915987373,3367.1062012315365,3366.4037419205997,1.0
2025-06-06 07:00:00,3369.66,3372.1,3369.11,3370.58,hold,0.0,0.0,,0.24804771184744628,0.0011584112538167712,3368.0387197790787,3367.183584082125,1.0
2025-06-06 07:15:00,3370.58,3373.59,3370.37,3372.12,hold,0.0,0.0,,0.28955079957194824,0.0005756369096012737,3369.0859103088032,3368.0247673840036,1.0
2025-06-06 07:30:00,3372.02,3373.4,3370.76,3372.1,hold,0.0,0.0,,0.28523787062797307,0.0007062901368659613,3369.8335856690005,3368.6680633733627,1.0
2025-06-06 07:45:00,3372.09,3374.46,3371.53,3373.71,hold,0.0,0.0,,0.3222734024712156,0.0009286235603367388,3370.7709498648023,3369.414019707249,1.0
2025-06-06 08:00:00,3373.65,3375.6,3373.25,3373.96,hold,0.0,0.0,,0.32622944155724287,0.0005456508072074762,3371.527284464636,3370.050304624934,1.0
2025-06-06 08:15:00,3373.92,3373.92,3368.31,3369.4,hold,0.0,0.0,,0.10419388455833933,-0.0008006879985764659,3371.0301931676863,3369.963540204407,1.0
