time,open,high,low,close,tick_volume,spread,real_volume
2025-06-06 20:00:00,3322.77,3326.8,3322.69,3325.61,1041,15,0
2025-06-06 20:15:00,3325.59,3326.39,3323.24,3323.99,999,17,0
2025-06-06 20:30:00,3324.17,3324.29,3321.64,3322.24,907,17,0
2025-06-06 20:45:00,3322.21,3324.39,3321.42,3323.63,847,17,0
2025-06-06 21:00:00,3323.71,3323.96,3313.74,3315.34,1054,17,0
2025-06-06 21:15:00,3315.22,3317.48,3314.39,3315.95,938,5,0
2025-06-06 21:30:00,3315.94,3320.09,3314.94,3319.55,906,16,0
2025-06-06 21:45:00,3319.57,3319.75,3316.56,3317.49,767,17,0
2025-06-06 22:00:00,3317.48,3318.99,3315.21,3316.04,880,17,0
2025-06-06 22:15:00,3316.16,3317.72,3313.58,3315.03,928,19,0
2025-06-06 22:30:00,3315.09,3316.01,3312.81,3315.8,946,5,0
2025-06-06 22:45:00,3315.85,3316.02,3311.35,3312.44,1066,8,0
2025-06-06 23:00:00,3312.47,3312.84,3307.13,3307.39,687,13,0
2025-06-06 23:15:00,3307.43,3311.89,3307.43,3311.08,605,17,0
2025-06-06 23:30:00,3311.16,3312.7,3310.83,3311.13,602,15,0
2025-06-06 23:45:00,3311.07,3312.77,3310.74,3312.12,424,17,0
2025-06-09 01:00:00,3314.04,3321.15,3314.03,3317.33,1012,7,0
2025-06-09 01:15:00,3317.38,3318.75,3316.78,3318.06,548,6,0
2025-06-09 01:30:00,3318.06,3318.75,3311.05,3312.21,742,14,0
2025-06-09 01:45:00,3312.28,3314.97,3309.35,3314.94,822,12,0
2025-06-09 02:00:00,3314.82,3318.18,3314.68,3317.07,825,17,0
2025-06-09 02:15:00,3317.08,3317.79,3314.67,3315.94,548,8,0
2025-06-09 02:30:00,3316.02,3316.07,3313.42,3315.57,640,9,0
2025-06-09 02:45:00,3315.59,3318.57,3314.67,3318.03,683,17,0
2025-06-09 03:00:00,3318.12,3318.62,3311.0,3311.77,1021,18,0
2025-06-09 03:15:00,3311.69,3311.69,3304.84,3310.16,1111,5,0
2025-06-09 03:30:00,3310.15,3311.92,3301.78,3302.84,1163,5,0
2025-06-09 03:45:00,3302.76,3305.61,3298.4,3305.43,1223,5,0
2025-06-09 04:00:00,3305.59,3309.31,3301.28,3305.56,1378,14,0
2025-06-09 04:15:00,3305.51,3309.04,3303.99,3306.67,1077,17,0
2025-06-09 04:30:00,3306.75,3308.71,3302.97,3307.18,1144,17,0
2025-06-09 04:45:00,3307.21,3307.95,3295.1,3295.86,1261,14,0
2025-06-09 05:00:00,3295.87,3299.02,3293.61,3297.9,1191,16,0
2025-06-09 05:15:00,3298.15,3305.8,3296.9,3301.71,1111,6,0
2025-06-09 05:30:00,3302.22,3304.81,3300.24,3302.5,1063,15,0
2025-06-09 05:45:00,3302.51,3307.57,3302.51,3305.54,1047,16,0
2025-06-09 06:00:00,3305.47,3308.96,3305.47,3307.71,1020,18,0
2025-06-09 06:15:00,3307.71,3308.82,3304.31,3304.36,1022,5,0
2025-06-09 06:30:00,3304.38,3309.39,3304.33,3308.73,843,17,0
2025-06-09 06:45:00,3308.76,3312.0,3308.76,3310.8,882,17,0
2025-06-09 07:00:00,3310.91,3312.09,3309.29,3310.87,788,17,0
2025-06-09 07:15:00,3310.83,3313.16,3310.56,3312.21,681,17,0
2025-06-09 07:30:00,3312.15,3313.42,3310.18,3312.28,665,16,0
2025-06-09 07:45:00,3312.28,3312.57,3310.59,3311.72,690,19,0
2025-06-09 08:00:00,3311.72,3312.85,3309.57,3311.3,812,18,0
2025-06-09 08:15:00,3311.37,3312.17,3309.75,3311.96,751,18,0
2025-06-09 08:30:00,3311.84,3315.39,3310.33,3315.28,1066,17,0
2025-06-09 08:45:00,3315.43,3316.5,3314.23,3314.69,976,17,0
2025-06-09 09:00:00,3314.83,3317.18,3312.47,3316.85,1073,16,0
2025-06-09 09:15:00,3316.84,3320.37,3316.1,3318.77,1074,16,0
2025-06-09 09:30:00,3318.63,3320.52,3317.51,3320.2,1010,17,0
2025-06-09 09:45:00,3320.05,3324.86,3319.53,3324.38,1129,5,0
2025-06-09 10:00:00,3324.19,3325.4,3321.57,3323.77,1050,17,0
2025-06-09 10:15:00,3323.7,3328.43,3322.91,3325.62,1054,6,0
2025-06-09 10:30:00,3325.6,3326.19,3321.73,3326.04,1128,6,0
2025-06-09 10:45:00,3326.01,3327.3,3323.98,3324.24,1099,16,0
2025-06-09 11:00:00,3324.41,3325.49,3322.78,3323.46,1068,11,0
2025-06-09 11:15:00,3323.54,3324.82,3321.88,3324.82,1003,15,0
2025-06-09 11:30:00,3324.96,3325.63,3322.59,3323.34,1065,16,0
2025-06-09 11:45:00,3323.27,3323.67,3319.81,3319.81,998,17,0
2025-06-09 12:00:00,3319.9,3323.45,3319.5,3323.13,1025,7,0
2025-06-09 12:15:00,3323.08,3323.33,3316.85,3318.66,1039,10,0
2025-06-09 12:30:00,3318.73,3322.36,3318.11,3321.75,955,17,0
2025-06-09 12:45:00,3321.73,3322.33,3318.62,3318.63,906,17,0
2025-06-09 13:00:00,3318.67,3319.72,3316.88,3319.26,883,17,0
2025-06-09 13:15:00,3319.27,3319.63,3315.81,3316.86,860,17,0
2025-06-09 13:30:00,3316.89,3316.89,3312.53,3312.77,896,17,0
2025-06-09 13:45:00,3312.92,3314.76,3312.12,3314.51,868,17,0
2025-06-09 14:00:00,3314.65,3317.65,3314.24,3316.88,937,17,0
2025-06-09 14:15:00,3316.89,3318.79,3315.5,3318.31,966,5,0
2025-06-09 14:30:00,3318.3,3321.07,3317.01,3320.66,1010,6,0
2025-06-09 14:45:00,3320.79,3321.29,3313.74,3317.4,1071,5,0
2025-06-09 15:00:00,3317.45,3318.59,3313.64,3315.47,1123,5,0
2025-06-09 15:15:00,3315.46,3318.26,3313.07,3318.13,1028,5,0
2025-06-09 15:30:00,3318.21,3322.42,3317.77,3319.48,1054,16,0
2025-06-09 15:45:00,3319.5,3320.96,3315.54,3320.02,1108,10,0
2025-06-09 16:00:00,3320.16,3320.46,3314.44,3315.67,1225,12,0
2025-06-09 16:15:00,3315.55,3316.14,3310.73,3313.78,1295,15,0
