time,open,high,low,close,volume,spread,real_volume
2025-10-29 13:15:00,4022.07,4023.78,4019.12,4019.64,466,13,0
2025-10-29 13:20:00,4019.43,4025.49,4019.18,4022.62,428,11,0
2025-10-29 13:25:00,4022.65,4022.79,4017.99,4018.34,429,7,0
2025-10-29 13:30:00,4018.41,4020.82,4014.98,4017.08,447,5,0
2025-10-29 13:35:00,4017.09,4020.11,4014.8,4017.9,438,11,0
2025-10-29 13:40:00,4017.9,4020.04,4016.45,4017.99,388,16,0
2025-10-29 13:45:00,4018.02,4018.66,4013.5,4014.77,441,16,0
2025-10-29 13:50:00,4014.88,4017.62,4014.41,4015.73,409,12,0
2025-10-29 13:55:00,4015.67,4019.28,4014.26,4016.09,458,5,0
2025-10-29 14:00:00,4016.68,4019.04,4014.03,4017.28,433,17,0
2025-10-29 14:05:00,4017.23,4019.19,4015.86,4017.74,429,17,0
2025-10-29 14:10:00,4017.74,4029.07,4017.19,4028.51,481,16,0
2025-10-29 14:15:00,4028.39,4030.22,4022.81,4024.52,484,17,0
2025-10-29 14:20:00,4024.18,4028.35,4023.36,4027.53,465,17,0
2025-10-29 14:25:00,4027.51,4028.89,4024.87,4026.53,460,16,0
2025-10-29 14:30:00,4026.29,4028.47,4024.83,4026.16,432,11,0
2025-10-29 14:35:00,4025.95,4026.19,4021.56,4021.74,436,5,0
2025-10-29 14:40:00,4021.92,4026.15,4021.82,4025.91,444,15,0
2025-10-29 14:45:00,4025.96,4026.25,4023.3,4025.16,395,17,0
2025-10-29 14:50:00,4025.15,4027.96,4023.02,4023.41,432,6,0
2025-10-29 14:55:00,4023.53,4025.86,4023.46,4025.48,456,17,0
2025-10-29 15:00:00,4025.36,4025.36,4014.94,4015.2,496,11,0
2025-10-29 15:05:00,4014.89,4018.77,4014.58,4016.9,456,11,0
2025-10-29 15:10:00,4017.27,4020.67,4009.64,4012.44,481,14,0
2025-10-29 15:15:00,4012.47,4019.34,4012.47,4016.94,460,14,0
2025-10-29 15:20:00,4017.01,4017.95,4015.29,4017.79,424,7,0
2025-10-29 15:25:00,4018.29,4020.06,4016.73,4018.79,443,16,0
2025-10-29 15:30:00,4019.5,4019.5,4009.51,4010.53,488,6,0
2025-10-29 15:35:00,4010.42,4012.83,4004.76,4006.83,495,12,0
2025-10-29 15:40:00,4006.69,4009.32,4002.8,4006.98,493,7,0
2025-10-29 15:45:00,4006.65,4008.92,4002.58,4007.07,496,5,0
2025-10-29 15:50:00,4006.85,4011.98,4003.68,4010.59,499,5,0
2025-10-29 15:55:00,4010.59,4013.95,4009.37,4012.4,474,7,0
2025-10-29 16:00:00,4012.14,4019.63,4011.62,4017.5,494,14,0
2025-10-29 16:05:00,4017.49,4022.32,4016.77,4020.01,473,11,0
2025-10-29 16:10:00,4020.03,4020.65,4014.78,4017.03,474,16,0
2025-10-29 16:15:00,4017.2,4019.72,4015.69,4017.78,482,16,0
2025-10-29 16:20:00,4017.7,4020.01,4014.11,4017.32,461,17,0
2025-10-29 16:25:00,4017.42,4018.58,4016.04,4016.67,444,16,0
2025-10-29 16:30:00,4016.63,4021.2,4016.4,4017.17,462,16,0
2025-10-29 16:35:00,4017.22,4019.42,4011.64,4013.69,472,16,0
2025-10-29 16:40:00,4013.87,4013.87,4009.34,4010.45,465,16,0
2025-10-29 16:45:00,4010.47,4014.41,4007.99,4014.41,469,10,0
2025-10-29 16:50:00,4014.25,4015.05,4010.44,4012.48,448,17,0
2025-10-29 16:55:00,4012.42,4012.93,4007.75,4008.53,465,16,0
2025-10-29 17:00:00,4008.65,4010.78,4004.58,4007.8,486,16,0
2025-10-29 17:05:00,4008.04,4010.6,4006.1,4010.6,440,13,0
2025-10-29 17:10:00,4010.71,4012.03,4007.16,4009.57,474,16,0
2025-10-29 17:15:00,4009.54,4010.02,4004.86,4007.74,442,17,0
2025-10-29 17:20:00,4007.75,4008.43,4005.1,4007.6,466,8,0
2025-10-29 17:25:00,4007.57,4009.76,4001.86,4006.72,482,14,0
2025-10-29 17:30:00,4006.53,4009.01,4004.88,4005.73,438,16,0
2025-10-29 17:35:00,4005.58,4007.84,4003.21,4005.04,447,16,0
2025-10-29 17:40:00,4005.04,4006.09,4002.97,4004.02,438,16,0
2025-10-29 17:45:00,4004.14,4004.14,3996.16,3997.52,469,5,0
2025-10-29 17:50:00,3997.52,3997.52,3989.12,3992.3,493,7,0
2025-10-29 17:55:00,3992.1,3995.57,3989.97,3993.03,471,7,0
2025-10-29 18:00:00,3993.06,3994.59,3991.62,3993.37,421,10,0
2025-10-29 18:05:00,3993.37,3998.48,3991.52,3998.07,431,5,0
2025-10-29 18:10:00,3998.14,3999.55,3996.63,3997.07,424,5,0
2025-10-29 18:15:00,3997.13,4000.92,3995.87,4000.61,451,8,0
2025-10-29 18:20:00,4000.64,4001.18,3998.16,3999.74,444,16,0
2025-10-29 18:25:00,3999.76,4000.49,3997.08,3998.68,398,16,0
2025-10-29 18:30:00,3998.53,3998.53,3996.25,3998.34,344,17,0
2025-10-29 18:35:00,3998.43,3998.48,3993.01,3994.68,389,17,0
2025-10-29 18:40:00,3994.77,3996.0,3993.78,3995.07,375,5,0
2025-10-29 18:45:00,3994.94,3999.49,3994.87,3999.45,382,17,0
2025-10-29 18:50:00,3999.47,3999.87,3993.44,3994.76,383,16,0
2025-10-29 18:55:00,3994.78,3994.81,3992.43,3992.97,394,16,0
2025-10-29 19:00:00,3992.86,3993.13,3991.02,3992.24,392,6,0
2025-10-29 19:05:00,3992.33,3994.62,3989.22,3994.09,417,16,0
2025-10-29 19:10:00,3994.26,3997.76,3993.8,3997.76,369,17,0
2025-10-29 19:15:00,3997.63,3997.64,3993.58,3993.82,365,17,0
2025-10-29 19:20:00,3993.87,3995.23,3989.86,3992.52,435,16,0
2025-10-29 19:25:00,3992.67,3993.08,3985.52,3986.74,445,11,0
2025-10-29 19:30:00,3986.95,3993.35,3986.24,3993.35,441,17,0
2025-10-29 19:35:00,3993.35,3994.76,3991.31,3994.06,383,16,0
2025-10-29 19:40:00,3994.19,3995.39,3991.35,3991.96,399,16,0
