time,close,signal,position,strategy_returns,osc,heat_zone,wma,cumulative
2025-06-06 05:30:00,3363.92,hold,0.0,0.0,0.0,0.0,,1.0
2025-06-06 05:45:00,3363.95,hold,0.0,0.0,0.0,0.0,,1.0
2025-06-06 06:00:00,3361.4,hold,0.0,0.0,0.0,0.0,,1.0
2025-06-06 06:15:00,3366.68,hold,0.0,0.0,0.0,0.0,,1.0
2025-06-06 06:30:00,3370.18,hold,0.0,0.0,0.0,0.0,,1.0
2025-06-06 06:45:00,3369.72,hold,0.0,0.0,0.0,0.0,,1.0
2025-06-06 07:00:00,3370.58,hold,0.0,0.0,0.0,0.0,,1.0
2025-06-06 07:15:00,3372.12,hold,0.0,0.0,0.0,0.0,,1.0
2025-06-06 07:30:00,3372.1,hold,0.0,0.0,0.0,0.0,,1.0
2025-06-06 07:45:00,3373.71,hold,0.0,0.0,0.0,0.0,,1.0
2025-06-06 08:00:00,3373.96,hold,0.0,0.0,0.0,0.0,,1.0
2025-06-06 08:15:00,3369.4,hold,0.0,0.0,0.0,0.0,,1.0
2025-06-06 08:30:00,3366.22,hold,0.0,0.0,0.0,0.0,,1.0
2025-06-06 08:45:00,3366.03,hold,0.0,0.0,0.0,0.0,,1.0
2025-06-06 09:00:00,3362.88,hold,0.0,0.0,0.0,0.0,,1.0
2025-06-06 09:15:00,3364.82,hold,0.0,0.0,0.0,0.0,,1.0
2025-06-06 09:30:00,3358.4,hold,0.0,0.0,0.0,0.0,,1.0
2025-06-06 09:45:00,3360.76,hold,0.0,0.0,0.0,0.0,,1.0
2025-06-06 10:00:00,3361.36,hold,0.0,0.0,0.0,0.0,,1.0
2025-06-06 10:15:00,3360.49,hold,0.0,0.0,0.0,0.0,,1.0
2025-06-06 10:30:00,3358.98,hold,0.0,0.0,0.0,0.0,,1.0
2025-06-06 10:45:00,3359.47,hold,0.0,0.0,0.0,0.0,,1.0
2025-06-06 11:00:00,3358.65,hold,0.0,0.0,0.0,0.0,,1.0
2025-06-06 11:15:00,3363.95,hold,0.0,0.0,0.0,0.0,,1.0
2025-06-06 11:30:00,3367.11,hold,0.0,0.0,0.0,0.0,,1.0
2025-06-06 11:45:00,3365.31,hold,0.0,0.0,0.0,0.0,,1.0
2025-06-06 12:00:00,3360.56,hold,0.0,0.0,0.0,0.0,,1.0
2025-06-06 12:15:00,3355.68,hold,0.0,0.0,0.0,0.0,,1.0
2025-06-06 12:30:00,3357.25,hold,0.0,0.0,0.0,0.0,,1.0
2025-06-06 12:45:00,3356.71,hold,0.0,0.0,0.0,0.0,,1.0
2025-06-06 13:00:00,3357.89,hold,0.0,0.0,0.0,0.0,,1.0
2025-06-06 13:15:00,3356.66,hold,0.0,0.0,0.0,0.0,,1.0
2025-06-06 13:30:00,3357.58,hold,0.0,0.0,0.0,0.0,,1.0
2025-06-06 13:45:00,3360.58,hold,0.0,0.0,0.0,0.0,,1.0
2025-06-06 14:00:00,3361.74,hold,0.0,0.0,0.0,0.0,,1.0
2025-06-06 14:15:00,3360.91,hold,0.0,0.0,0.0,0.0,,1.0
2025-06-06 14:30:00,3362.74,hold,0.0,0.0,0.0,0.0,,1.0
2025-06-06 14:45:00,3358.35,hold,0.0,0.0,0.0,0.0,,1.0
2025-06-06 15:00:00,3356.54,hold,0.0,0.0,0.0,0.0,,1.0
2025-06-06 15:15:00,3358.86,hold,0.0,0.0,0.0,0.0,,1.0
2025-06-06 15:30:00,3353.14,hold,0.0,0.0,0.0,0.0,,1.0
2025-06-06 15:45:00,3353.48,hold,0.0,0.0,0.0,0.0,,1.0
2025-06-06 16:00:00,3355.94,hold,0.0,0.0,0.0,0.0,,1.0
2025-06-06 16:15:00,3353.78,hold,0.0,0.0,0.0,0.0,,1.0
2025-06-06 16:30:00,3346.83,hold,0.0,0.0,0.0,0.0,,1.0
2025-06-06 16:45:00,3343.21,hold,0.0,0.0,0.0,0.0,,1.0
2025-06-06 17:00:00,3333.99,hold,0.0,0.0,0.0,0.0,,1.0
2025-06-06 17:15:00,3324.17,hold,0.0,0.0,0.0,0.0,,1.0
2025-06-06 17:30:00,3333.72,hold,0.0,0.0,0.0,0.0,,1.0
2025-06-06 17:45:00,3326.15,hold,0.0,0.0,0.0,0.0,3352.113971516551,1.0
2025-06-06 18:00:00,3324.07,hold,0.0,0.0,-236.67626963301478,0.0,3351.7007943018625,1.0
2025-06-06 18:15:00,3330.84,hold,0.0,0.0,-169.34842685567747,0.0,3350.7429995362654,1.0
2025-06-06 18:30:00,3333.85,hold,0.0,0.0,-138.30252826744533,0.0,3350.2198003835347,1.0
2025-06-06 18:45:00,3332.22,hold,0.0,0.0,-146.58611341188285,0.0,3349.4237805992434,1.0
2025-06-06 19:00:00,3329.38,hold,0.0,0.0,-164.36597029661212,0.0,3348.5319228589615,1.0
2025-06-06 19:15:00,3323.98,hold,0.0,0.0,-201.19310957386912,0.0,3347.579233206195,1.0
2025-06-06 19:30:00,3324.88,hold,0.0,0.0,-192.19326641594958,0.0,3347.3113144589256,1.0
2025-06-06 19:45:00,3322.76,hold,0.0,0.0,-205.8704477227551,0.0,3346.7119617453995,1.0
2025-06-06 20:00:00,3325.61,hold,0.0,0.0,-178.84512729128423,0.0,3346.314203193643,1.0
2025-06-06 20:15:00,3323.99,hold,0.0,0.0,-189.77157145488897,0.0,3345.7922232725473,1.0
2025-06-06 20:30:00,3322.24,hold,0.0,0.0,-204.08532273312602,0.0,3345.4796306355547,1.0
2025-06-06 20:45:00,3323.63,hold,0.0,0.0,-185.2885252263726,0.0,3344.56640794074,1.0
2025-06-06 21:00:00,3315.34,hold,0.0,0.0,-238.0102687313984,0.0,3342.578952977038,1.0
2025-06-06 21:15:00,3315.95,hold,0.0,0.0,-233.2015388343348,0.0,3342.4467960952425,1.0
2025-06-06 21:30:00,3319.55,hold,0.0,0.0,-193.60206094418632,0.0,3341.515791985403,1.0
2025-06-06 21:45:00,3317.49,hold,0.0,0.0,-207.85161830821434,0.0,3340.9161370901134,1.0
2025-06-06 22:00:00,3316.04,hold,0.0,0.0,-213.19802803131918,0.0,3339.9506361527306,1.0
2025-06-06 22:15:00,3315.03,hold,0.0,0.0,-218.68399535561,0.0,3339.4615045987734,1.0
2025-06-06 22:30:00,3315.8,hold,0.0,0.0,-211.24792131806757,0.0,3339.25464239446,1.0
2025-06-06 22:45:00,3312.44,hold,0.0,0.0,-235.6792679045796,0.0,3338.5478759291327,1.0
2025-06-06 23:00:00,3307.39,hold,0.0,0.0,-270.33021205330164,0.0,3337.3494409375016,1.0
2025-06-06 23:15:00,3311.08,hold,0.0,0.0,-231.57996262066735,0.0,3336.6753753686494,1.0
2025-06-06 23:30:00,3311.13,hold,0.0,0.0,-232.14871376259896,0.0,3336.555690359928,1.0
2025-06-06 23:45:00,3312.12,hold,0.0,0.0,-215.07082040748605,0.0,3335.4749472787903,1.0
2025-06-09 01:00:00,3317.33,hold,0.0,0.0,-155.12884842460682,0.0,3334.2456633091483,1.0
2025-06-09 01:15:00,3318.06,hold,0.0,0.0,-145.7301663462664,0.0,3333.817265986409,1.0
2025-06-09 01:30:00,3312.21,hold,0.0,0.0,-184.0310889246672,0.0,3332.2182423901527,1.0
2025-06-09 01:45:00,3314.94,hold,0.0,0.0,-149.36212865547765,0.0,3331.1860038399113,1.0
2025-06-09 02:00:00,3317.07,hold,0.0,0.0,-126.18704863070438,0.0,3330.7333419492033,1.0
2025-06-09 02:15:00,3315.94,hold,0.0,0.0,-135.5356776673376,0.0,3330.5378701631607,1.0
2025-06-09 02:30:00,3315.57,hold,0.0,0.0,-137.600484812831,0.0,3330.297328926375,1.0
2025-06-09 02:45:00,3318.03,hold,0.0,0.0,-111.27828217483662,0.0,3329.900678603612,1.0
2025-06-09 03:00:00,3311.77,hold,0.0,0.0,-161.11783870213102,0.0,3329.0461029021835,1.0
2025-06-09 03:15:00,3310.16,hold,0.0,0.0,-168.3924135082852,0.0,3328.2758162189484,1.0
2025-06-09 03:30:00,3302.84,hold,0.0,0.0,-221.61326696981678,0.0,3326.92962284111,1.0
2025-06-09 03:45:00,3305.43,hold,0.0,0.0,-192.49215167404648,0.0,3326.4335796846385,1.0
2025-06-09 04:00:00,3305.56,hold,0.0,0.0,-186.54465802148383,0.0,3326.0250210806926,1.0
2025-06-09 04:15:00,3306.67,hold,0.0,0.0,-167.5965960359831,0.0,3325.039729629608,1.0
2025-06-09 04:30:00,3307.18,hold,0.0,0.0,-159.1880038158603,0.0,3324.637379267905,1.0
2025-06-09 04:45:00,3295.86,hold,0.0,0.0,-237.35324927065452,0.0,3322.277944095489,1.0
2025-06-09 05:00:00,3297.9,hold,0.0,0.0,-207.09810748650187,0.0,3320.943419533449,1.0
2025-06-09 05:15:00,3301.71,hold,0.0,0.0,-167.33321425130757,0.0,3320.4502286925754,1.0
2025-06-09 05:30:00,3302.5,hold,0.0,0.0,-155.30203923927627,0.0,3319.85842620951,1.0
2025-06-09 05:45:00,3305.54,hold,0.0,0.0,-122.14707163415531,0.0,3319.1788900411925,1.0
2025-06-09 06:00:00,3307.71,hold,0.0,0.0,-91.48734041437295,0.0,3317.885125698423,1.0
