time,close,signal,position,strategy_returns,rsi,volume_ratio,volatility,ema_fast,ema_slow,bb_upper,bb_lower,cumulative
2025-11-06 07:35:00,3989.02,hold,0.0,0.0,,,,3989.02,3989.02,,,1.0
2025-11-06 07:36:00,3987.96,hold,0.0,0.0,,,,3988.384,3988.4492307692312,,,1.0
2025-11-06 07:37:00,3986.89,hold,0.0,0.0,,,,3987.6763157894734,3987.8476377952757,,,1.0
2025-11-06 07:38:00,3989.06,hold,0.0,0.0,,,,3988.2510769230767,3988.2239638009046,,,1.0
2025-11-06 07:39:00,3988.13,hold,0.0,0.0,41.49139579350029,,,3988.204597156398,3988.1989823939766,,,1.0
2025-11-06 07:40:00,3988.08,hold,0.0,0.0,41.098484848484674,,,3988.1590676691735,3988.170814305636,,,1.0
2025-11-06 07:41:00,3986.44,hold,0.0,0.0,37.03071672354993,,,3987.550422535212,3987.7962264650755,,,1.0
2025-11-06 07:42:00,3988.12,hold,0.0,0.0,59.50540958268977,,,3987.7479904837433,3987.861496808591,,,1.0
2025-11-06 07:43:00,3987.51,hold,0.0,0.0,34.215885947047695,,,3987.666541651453,3987.7945687100882,,,1.0
2025-11-06 07:44:00,3987.83,hold,0.0,0.0,46.511627906974034,0.8618331053351573,0.8196096631933525,3987.7219893149504,3987.801008898902,,,1.0
2025-11-06 07:45:00,3988.04,hold,0.0,0.0,49.551569506726786,0.9002770083102493,0.7244032026433493,3987.8292327197755,3987.8428223578526,,,1.0
2025-11-06 07:46:00,3987.93,hold,0.0,0.0,75.4266211604112,0.9230769230769231,0.7237564046924012,3987.863082706767,3987.8576004118895,3989.25382987898,3986.58117012102,1.0
2025-11-06 07:47:00,3988.32,hold,0.0,0.0,56.09756097561854,0.845272206303725,0.6619533384024686,3988.016175095247,3987.9339493805455,3989.068896651566,3986.6494366817683,1.0
2025-11-06 07:48:00,3989.1,hold,0.0,0.0,93.92265193369444,1.1363636363636362,0.6695106006960604,3988.378691860105,3988.122289486785,3989.3260466309357,3986.582286702397,1.0
2025-11-06 07:49:00,3989.18,hold,0.0,0.0,92.99363057324103,1.083815028901734,0.7749157660316298,3988.6464059408754,3988.290000622385,3989.5096909740105,3986.7803090259895,1.0
2025-11-06 07:50:00,3989.48,hold,0.0,0.0,93.37349397589718,0.9620991253644315,0.8968122558385531,3988.924694304264,3988.475770336891,3989.641641916103,3986.718358083897,1.0
2025-11-06 07:51:00,3989.17,hold,0.0,0.0,83.33333333333741,0.8446455505279035,0.6963204881535368,3989.006545945588,3988.582728491359,3989.815148621239,3986.7181847120946,1.0
2025-11-06 07:52:00,3989.35,hold,0.0,0.0,81.21212121212038,0.8487654320987654,0.7355489257842552,3989.1211081477018,3988.699629522736,3990.013726841559,3986.7312731584407,1.0
2025-11-06 07:53:00,3987.73,hold,0.0,0.0,22.489959839357212,1.055045871559633,0.7021562029445709,3988.6571961643576,3988.5532879209354,3989.7739756917763,3987.186024308223,1.0
2025-11-06 07:54:00,3988.76,hold,0.0,0.0,43.895348837214954,1.1791044776119404,0.6462919876755107,3988.6914744180253,3988.5842363025786,3989.8175601612165,3987.24910650545,1.0
2025-11-06 07:55:00,3987.82,hold,0.0,0.0,29.65686274509946,1.037037037037037,0.6746060578837971,3988.4009246942646,3988.470596470958,3989.7791282532453,3987.3392050800876,1.0
