time,open,high,low,close,tick_volume,spread,real_volume,rsi,atr,volatility_ratio,ema_fast,ema_slow,adx,macd,macd_signal,macd_hist,volume_ratio,signal,momentum,filter_reasons,position_size,stop_loss,take_profit,returns,strategy_returns,cumulative
2025-08-21 13:30:00,3339.4,3339.4,3329.01,3330.52,895,5,0,,,0.0,3330.52,3330.52,0.0,0.0,0.0,0.0,1.0,hold,NEUTRAL,,1.0,,,,,
2025-08-21 13:45:00,3330.49,3331.66,3327.55,3328.4,976,10,0,,,0.0,3330.3180952380953,3330.436862745098,0.0,-0.16911680911698568,-0.03382336182339714,-0.13529344729358855,1.0,hold,NEUTRAL,,1.0,,,-0.0006365372374284028,-0.0,1.0
2025-08-21 14:00:00,3328.95,3329.67,3325.17,3329.45,978,17,0,,,0.0,3330.235419501134,3330.39816224529,0.0,-0.21592779279444585,-0.07024424801760688,-0.14568354477683898,1.0,hold,NEUTRAL,,1.0,,,0.0003154668909985947,0.0,1.0
2025-08-21 14:15:00,3329.46,3332.77,3328.86,3331.05,866,9,0,,,0.0,3330.312998596264,3330.423724510181,0.0,-0.12250702168330463,-0.08069680275074644,-0.041810218932558194,1.0,hold,NEUTRAL,,1.0,,,0.0004805598522279464,0.0,1.0
2025-08-21 14:30:00,3331.06,3334.23,3330.16,3333.74,829,16,0,,,0.0,3330.639379682334,3330.553774529389,0.0,0.16666887615792803,-0.03122366696901155,0.19789254312693957,1.0,hold,NEUTRAL,,1.0,,,0.0008075531739240027,0.0,1.0
2025-08-21 14:45:00,3333.72,3334.36,3332.24,3333.6,787,14,0,,,0.0,3330.921343522112,3330.673234351766,0.0,0.3801637377014231,0.051053813965075384,0.32910992373634773,1.0,hold,NEUTRAL,,1.0,,,-4.199487662503998e-05,-0.0,1.0
2025-08-21 15:00:00,3333.59,3342.76,3333.59,3341.44,1032,5,0,,,0.0,3331.92312032953,3331.095460455618,0.0,1.1685125467429316,0.27454556052064666,0.893966986222285,1.0,hold,NEUTRAL,,1.0,,,0.002351811855051622,0.0,1.0
2025-08-21 15:15:00,3341.45,3342.14,3336.39,3337.83,1071,7,0,,,0.0,3332.4856802981462,3331.359560045594,0.0,1.4848711572826687,0.5166106798730511,0.9682604774096176,1.0,hold,NEUTRAL,,1.0,,,-0.001080372533997398,-0.0,1.0
2025-08-21 15:30:00,3338.88,3345.04,3336.7,3339.18,1167,11,0,,,0.0,3333.123234555466,3331.666243965375,0.0,1.823501166596543,0.7779887772177495,1.0455123893787936,1.0,hold,NEUTRAL,,1.0,,,0.000404454391026432,0.0,1.0
2025-08-21 15:45:00,3339.21,3343.24,3337.85,3341.96,995,15,0,,,0.0,3333.964831264469,3332.0699206726154,0.0,2.289795320144094,1.0803500858030186,1.2094452343410755,1.0,hold,NEUTRAL,,1.0,,,0.0008325397253219347,0.0,1.0
2025-08-21 16:00:00,3341.88,3343.49,3339.2,3342.22,1067,5,0,,,0.0,3334.75103781071,3332.4679629991797,0.0,2.6497717046022444,1.3942344095628638,1.2555372950393806,1.0,hold,NEUTRAL,,1.0,,,7.77986570754674e-05,0.0,1.0
2025-08-21 16:15:00,3342.19,3345.45,3341.37,3345.27,1034,13,0,,,0.0,3335.7528437334995,3332.9700036658783,0.0,3.1449124992113866,1.7443700274925686,1.400542471718818,1.0,hold,NEUTRAL,,1.0,,,0.0009125670961218635,0.0,1.0
2025-08-21 16:30:00,3345.44,3347.42,3344.82,3345.26,1127,5,0,,,0.0,3336.6582871874516,3333.451964306432,0.0,3.4962061417199948,2.094737250338054,1.4014688913819406,1.0,hold,NEUTRAL,,1.0,,,-2.9892953333776617e-06,-0.0,1.0
2025-08-21 16:45:00,3341.09,3341.36,3336.25,3339.35,1273,7,0,63.62233878432578,,0.0,3336.9146407886465,3333.6832598238266,0.0,3.2601404070278477,2.327817881676013,0.9323225253518346,1.0,hold,NEUTRAL,,1.0,,,-0.0017666788231708308,-0.0,1.0
2025-08-21 17:00:00,3339.44,3345.43,3337.96,3344.88,1213,7,0,68.92461781760689,,0.0,3337.673246427823,3334.1223476738724,0.0,3.4791756244967473,2.55808943024016,0.9210861942565876,1.0,hold,NEUTRAL,,1.0,,,0.0016560109003249668,0.0,1.0
2025-08-21 17:15:00,3344.82,3345.55,3342.4,3344.8,1085,6,0,72.84122562674102,,0.0,3338.3519848632686,3334.541079137642,0.0,3.6047539216647237,2.7674223285250727,0.837331593139651,1.0,hold,NEUTRAL,,1.0,,,-2.3917150988927993e-05,-0.0,1.0
2025-08-21 17:30:00,3344.79,3348.06,3342.65,3342.77,1098,6,0,68.05856832971796,,0.0,3338.772748209624,3334.8637819165583,0.0,3.5001243377173523,2.9139627303635285,0.5861616073538238,1.0,hold,NEUTRAL,,1.0,,,-0.0006069122219565237,-0.0,1.0
2025-08-21 17:45:00,3342.95,3344.7,3341.57,3344.21,960,15,0,67.91938997821319,,0.0,3339.2905817134692,3335.2303002727717,0.0,3.49313393049124,3.0297969703890706,0.4633369601021693,1.0,hold,NEUTRAL,,1.0,,,0.00043078046051636676,0.0,1.0
2025-08-21 18:00:00,3344.44,3345.24,3338.61,3338.63,1018,12,0,56.172683665741296,,0.0,3339.227669169329,3335.3636218307024,0.0,3.0027211165051995,3.024381799612297,-0.021660683107097345,1.0,hold,NEUTRAL,,1.0,,,-0.0016685555033923993,-0.0,1.0
2025-08-21 18:15:00,3338.71,3344.67,3337.57,3342.98,1032,14,0,60.702875399361,5.530999999999949,0.0,3339.585034010345,3335.6623033275378,0.0,2.9312840557863638,3.00576225084711,-0.07447819506074627,1.0066819489830756,hold,NEUTRAL,,1.0,,,0.0013029296447943928,0.0,1.0
2025-08-21 18:30:00,3343.15,3345.93,3341.32,3345.63,1035,14,0,55.42324618172403,5.241999999999939,0.0,3340.160745056979,3336.0531933931243,0.0,3.0533059135618714,3.015270983390063,0.03803493017180859,1.002761226565906,hold,NEUTRAL,,1.0,,,0.0007927059090990785,0.0,1.0
2025-08-21 18:45:00,3345.68,3346.14,3343.04,3343.55,807,16,0,57.70889487870647,5.191499999999951,0.0,3340.4835312420287,3336.34718580908,0.0,2.948185649271636,3.001853916566378,-0.053668267294741945,0.7883168897137833,hold,NEUTRAL,,1.0,,,-0.0006217065246305609,-0.0,1.0
2025-08-21 19:00:00,3343.58,3343.87,3341.61,3341.87,772,13,0,53.59337429869089,5.079499999999939,0.0,3340.615575885645,3336.563766757744,0.0,2.698211816573348,2.9411254965677722,-0.24291367999442404,0.761791987369252,hold,NEUTRAL,,1.0,,,-0.0005024599602220237,-0.0,1.0
2025-08-21 19:15:00,3341.86,3342.22,3340.05,3341.06,695,10,0,48.730964467004966,4.992499999999927,0.0,3340.657901991774,3336.740089629989,0.0,2.406999134925627,2.8343002242393434,-0.42730108931371635,0.6916455192317261,hold,NEUTRAL,,1.0,,,-0.0002423792666980118,-0.0,1.0
2025-08-21 19:30:00,3341.02,3341.27,3339.0,3340.96,719,17,0,48.21529745042529,4.902499999999918,0.0,3340.6866732306526,3336.905576311166,0.0,2.1434336534648537,2.6961269100844456,-0.5526932566195919,0.7194676539750838,hold,NEUTRAL,,1.0,,,-2.993062082090603e-05,-0.0,1.0
