time,open,high,low,close,tick_volume,spread,real_volume,rsi,atr,volatility_ratio,signal,momentum,position_size,stop_loss,take_profit,returns,position,strategy_returns,cumulative
2025-06-06 05:30:00,3363.82,3364.87,3362.33,3363.92,924,17,0,,,0.0,hold,NEUTRAL,1.0,,,0.0,0,0.0,1.0
2025-06-06 05:45:00,3363.93,3366.48,3362.74,3363.95,1033,17,0,,,0.0,hold,NEUTRAL,1.0,,,8.918166900517832e-06,0,0.0,1.0
2025-06-06 06:00:00,3363.93,3364.0,3359.47,3361.4,1002,16,0,,,0.0,hold,NEUTRAL,1.0,,,-0.0007580374262399214,0,-0.0,1.0
2025-06-06 06:15:00,3361.47,3367.19,3361.4,3366.68,951,16,0,,,0.0,hold,NEUTRAL,1.0,,,0.0015707740822274996,0,0.0,1.0
2025-06-06 06:30:00,3366.72,3370.63,3366.64,3370.18,868,16,0,,,0.0,hold,NEUTRAL,1.0,,,0.0010395998431689257,0,0.0,1.0
2025-06-06 06:45:00,3370.21,3371.83,3369.12,3369.72,819,17,0,,,0.0,hold,NEUTRAL,1.0,,,-0.0001364912259879114,0,-0.0,1.0
2025-06-06 07:00:00,3369.66,3372.1,3369.11,3370.58,841,17,0,,,0.0,hold,NEUTRAL,1.0,,,0.00025521408306916626,0,0.0,1.0
2025-06-06 07:15:00,3370.58,3373.59,3370.37,3372.12,784,6,0,,,0.0,hold,NEUTRAL,1.0,,,0.00045689465907949867,0,0.0,1.0
2025-06-06 07:30:00,3372.02,3373.4,3370.76,3372.1,714,17,0,,,0.0,hold,NEUTRAL,1.0,,,-5.930987034830082e-06,0,-0.0,1.0
2025-06-06 07:45:00,3372.09,3374.46,3371.53,3373.71,775,16,0,,,0.0,hold,NEUTRAL,1.0,,,0.0004774472880402225,0,0.0,1.0
2025-06-06 08:00:00,3373.65,3375.6,3373.25,3373.96,862,16,0,,,0.0,hold,NEUTRAL,1.0,,,7.410239765714977e-05,0,0.0,1.0
2025-06-06 08:15:00,3373.92,3373.92,3368.31,3369.4,975,15,0,,,0.0,hold,NEUTRAL,1.0,,,-0.0013515275818326566,0,-0.0,1.0
2025-06-06 08:30:00,3369.17,3369.54,3365.24,3366.22,1090,16,0,,,0.0,hold,NEUTRAL,1.0,,,-0.0009437882115510554,0,-0.0,1.0
2025-06-06 08:45:00,3366.19,3366.87,3362.23,3366.03,1148,15,0,54.390345401581754,,0.0,hold,NEUTRAL,1.0,,,-5.6443132058991985e-05,0,-0.0,1.0
2025-06-06 09:00:00,3365.99,3366.86,3361.64,3362.88,1115,13,0,48.08682855040473,,0.0,hold,NEUTRAL,1.0,,,-0.0009358205363588779,0,-0.0,1.0
