,time,open,high,low,close,tick_volume,spread,real_volume
0,2025-03-13 20:00:00,2979.26,2989.1,2979.12,2988.8,8813,5,0
1,2025-03-14 00:00:00,2989.38,2990.2,2981.69,2987.88,10039,5,0
2,2025-03-14 04:00:00,2987.92,2993.91,2981.91,2986.29,12557,5,0
3,2025-03-14 08:00:00,2986.29,2999.45,2980.84,2998.81,14482,5,0
4,2025-03-14 12:00:00,2998.81,3004.85,2983.39,2985.35,17461,5,0
5,2025-03-14 16:00:00,2985.97,2993.39,2978.45,2986.56,17039,5,0
6,2025-03-14 20:00:00,2986.68,2988.85,2981.67,2986.24,7915,5,0
7,2025-03-17 00:00:00,2983.84,2994.02,2983.84,2990.8,8389,5,0
8,2025-03-17 04:00:00,2990.73,2991.9,2982.22,2986.04,8455,5,0
9,2025-03-17 08:00:00,2986.09,2996.84,2983.04,2995.67,10540,7,0
10,2025-03-17 12:00:00,2995.66,3001.19,2984.8,2988.35,13863,5,0
11,2025-03-17 16:00:00,2988.21,3000.59,2987.16,2997.76,14747,5,0
12,2025-03-17 20:00:00,2997.76,3001.99,2996.83,3001.02,7209,5,0
13,2025-03-18 00:00:00,3000.79,3008.35,2999.56,3005.64,7935,5,0
14,2025-03-18 04:00:00,3005.64,3017.08,3002.87,3012.03,11415,5,0
15,2025-03-18 08:00:00,3012.06,3028.48,3010.7,3020.21,14204,5,0
16,2025-03-18 12:00:00,3019.92,3038.26,3019.48,3033.23,16737,5,0
17,2025-03-18 16:00:00,3032.72,3036.93,3024.85,3032.57,18281,5,0
18,2025-03-18 20:00:00,3032.63,3037.89,3032.45,3033.76,7814,5,0
19,2025-03-19 00:00:00,3033.98,3035.17,3027.4,3029.41,5765,8,0
20,2025-03-19 04:00:00,3029.36,3045.32,3029.01,3044.5,10467,5,0
21,2025-03-19 08:00:00,3044.51,3044.74,3022.89,3030.35,13692,5,0
22,2025-03-19 12:00:00,3030.38,3041.15,3027.67,3033.26,12830,5,0
23,2025-03-19 16:00:00,3032.98,3038.27,3025.98,3030.56,15036,5,0
24,2025-03-19 20:00:00,3029.6,3051.84,3028.93,3047.16,10582,5,0
25,2025-03-20 00:00:00,3048.35,3056.03,3046.94,3049.68,9345,5,0
26,2025-03-20 04:00:00,3049.59,3057.26,3044.91,3046.71,12564,10,0
27,2025-03-20 08:00:00,3046.85,3051.48,3038.52,3041.49,13939,5,0
28,2025-03-20 12:00:00,3041.49,3042.32,3025.52,3032.52,17354,5,0
29,2025-03-20 16:00:00,3032.27,3042.98,3030.63,3041.73,16608,5,0
30,2025-03-20 20:00:00,3041.73,3046.05,3040.96,3044.47,8121,5,0
31,2025-03-21 00:00:00,3044.36,3047.39,3035.94,3035.94,6635,6,0
32,2025-03-21 04:00:00,3036.2,3036.99,3021.59,3028.01,11053,5,0
33,2025-03-21 08:00:00,3028.02,3034.72,3027.23,3029.67,12603,6,0
34,2025-03-21 12:00:00,3029.59,3038.08,3004.2,3006.66,14409,5,0
35,2025-03-21 16:00:00,3006.68,3018.23,2999.55,3013.68,16731,5,0
36,2025-03-21 20:00:00,3013.7,3024.2,3013.5,3022.94,7964,5,0
37,2025-03-24 00:00:00,3023.36,3026.15,3017.19,3020.84,9927,6,0
38,2025-03-24 04:00:00,3021.04,3024.47,3013.62,3022.12,10390,8,0
39,2025-03-24 08:00:00,3021.99,3031.03,3017.31,3023.61,14188,5,0
40,2025-03-24 12:00:00,3023.72,3033.22,3019.14,3022.79,15352,5,0
41,2025-03-24 16:00:00,3022.37,3024.04,3005.79,3007.0,17031,5,0
42,2025-03-24 20:00:00,3006.98,3014.57,3002.46,3011.96,8095,8,0
43,2025-03-25 00:00:00,3011.96,3014.85,3008.99,3011.86,7766,10,0
44,2025-03-25 04:00:00,3011.87,3020.97,3007.64,3018.29,11266,13,0
45,2025-03-25 08:00:00,3018.35,3023.51,3010.54,3023.2,12555,7,0
46,2025-03-25 12:00:00,3023.27,3030.58,3014.13,3028.45,15945,5,0
47,2025-03-25 16:00:00,3028.4,3035.95,3018.09,3022.69,17200,10,0
48,2025-03-25 20:00:00,3022.68,3022.77,3017.78,3019.81,7011,5,0
49,2025-03-26 00:00:00,3019.69,3025.45,3016.44,3024.86,7738,10,0
50,2025-03-26 04:00:00,3024.84,3027.15,3013.26,3022.83,12383,9,0
51,2025-03-26 08:00:00,3022.74,3032.04,3017.53,3018.69,14584,5,0
52,2025-03-26 12:00:00,3018.44,3030.41,3016.0,3016.74,16111,5,0
53,2025-03-26 16:00:00,3016.74,3021.7,3012.45,3018.72,16543,5,0
54,2025-03-26 20:00:00,3018.84,3021.79,3015.76,3018.85,8343,10,0
55,2025-03-27 00:00:00,3019.04,3028.36,3017.6,3023.55,9767,12,0
56,2025-03-27 04:00:00,3023.54,3038.54,3023.34,3029.73,12668,5,0
57,2025-03-27 08:00:00,3029.68,3041.03,3026.81,3039.94,15218,6,0
58,2025-03-27 12:00:00,3039.98,3055.91,3033.45,3040.55,18457,5,0
59,2025-03-27 16:00:00,3040.49,3059.56,3040.49,3052.87,19923,5,0
60,2025-03-27 20:00:00,3052.79,3057.85,3052.74,3056.42,8320,7,0
61,2025-03-28 00:00:00,3056.31,3074.03,3053.75,3073.86,8787,5,0
62,2025-03-28 04:00:00,3073.87,3081.92,3069.73,3077.82,12110,5,0
63,2025-03-28 08:00:00,3077.12,3085.96,3066.21,3072.87,14001,5,0
64,2025-03-28 12:00:00,3072.87,3084.06,3067.01,3083.27,15565,5,0
65,2025-03-28 16:00:00,3083.08,3086.77,3067.24,3077.39,17391,5,0
66,2025-03-28 20:00:00,3077.47,3085.93,3073.56,3084.2,8136,8,0
67,2025-03-31 00:00:00,3086.59,3097.77,3077.49,3079.07,7880,5,0
68,2025-03-31 04:00:00,3078.89,3115.94,3076.72,3113.33,13879,5,0
69,2025-03-31 08:00:00,3113.31,3127.94,3107.49,3122.24,14826,5,0
70,2025-03-31 12:00:00,3122.06,3126.73,3111.9,3124.58,14405,5,0
71,2025-03-31 16:00:00,3124.14,3127.17,3099.94,3117.56,18468,5,0
72,2025-03-31 20:00:00,3117.25,3124.73,3115.99,3123.96,12017,5,0
