time,open,high,low,close,tick_volume,spread,real_volume
2025-11-06 07:35:00,3987.74,3989.29,3987.6,3989.02,74,17,0
2025-11-06 07:36:00,3988.99,3989.54,3987.87,3987.96,73,17,0
2025-11-06 07:37:00,3987.75,3987.75,3986.55,3986.89,76,17,0
2025-11-06 07:38:00,3986.99,3989.22,3986.99,3989.06,74,17,0
2025-11-06 07:39:00,3989.05,3989.8,3988.01,3988.13,87,17,0
2025-11-06 07:40:00,3988.1,3988.48,3987.7,3988.08,72,17,0
2025-11-06 07:41:00,3988.06,3988.06,3985.82,3986.44,79,17,0
2025-11-06 07:42:00,3986.46,3988.12,3986.46,3988.12,70,17,0
2025-11-06 07:43:00,3988.25,3988.36,3987.4,3987.51,63,17,0
2025-11-06 07:44:00,3987.36,3987.83,3986.8,3987.83,63,17,0
2025-11-06 07:45:00,3987.85,3988.23,3987.4,3988.04,65,17,0
2025-11-06 07:46:00,3988.16,3988.85,3987.59,3987.93,66,17,0
2025-11-06 07:47:00,3987.96,3988.34,3987.33,3988.32,59,17,0
2025-11-06 07:48:00,3988.42,3990.23,3988.42,3989.1,80,17,0
2025-11-06 07:49:00,3989.19,3990.16,3989.17,3989.18,75,17,0
2025-11-06 07:50:00,3989.33,3989.66,3988.41,3989.48,66,16,0
2025-11-06 07:51:00,3989.51,3989.51,3988.34,3989.17,56,16,0
2025-11-06 07:52:00,3989.31,3989.84,3988.92,3989.35,55,16,0
2025-11-06 07:53:00,3989.18,3989.31,3987.63,3987.73,69,16,0
2025-11-06 07:54:00,3987.77,3988.93,3987.67,3988.76,79,16,0
2025-11-06 07:55:00,3988.78,3989.07,3987.4,3987.82,70,16,0
2025-11-06 07:56:00,3987.91,3988.03,3987.03,3987.33,74,16,0
2025-11-06 07:57:00,3987.31,3987.73,3986.74,3987.09,69,16,0
2025-11-06 07:58:00,3987.1,3987.99,3986.79,3986.83,74,16,0
2025-11-06 07:59:00,3987.03,3988.15,3986.97,3988.03,81,16,0
2025-11-06 08:00:00,3987.69,3987.69,3985.95,3986.8,82,16,0
2025-11-06 08:01:00,3986.81,3987.22,3985.09,3986.74,85,16,0
2025-11-06 08:02:00,3986.75,3987.94,3986.6,3987.94,88,16,0
2025-11-06 08:03:00,3987.93,3989.26,3987.93,3988.77,85,16,0
2025-11-06 08:04:00,3988.95,3989.26,3987.97,3988.54,65,17,0
2025-11-06 08:05:00,3988.45,3989.16,3987.05,3987.09,79,14,0
2025-11-06 08:06:00,3987.21,3987.66,3986.32,3986.48,77,10,0
2025-11-06 08:07:00,3986.48,3986.82,3985.79,3985.8,72,16,0
2025-11-06 08:08:00,3985.8,3987.4,3985.28,3987.0,80,16,0
2025-11-06 08:09:00,3987.11,3988.03,3986.44,3987.95,77,16,0
2025-11-06 08:10:00,3988.11,3989.33,3988.1,3989.01,71,16,0
2025-11-06 08:11:00,3989.08,3989.57,3988.11,3988.55,71,17,0
2025-11-06 08:12:00,3988.53,3989.75,3988.39,3989.6,60,17,0
2025-11-06 08:13:00,3989.52,3989.52,3987.89,3988.12,72,17,0
2025-11-06 08:14:00,3988.1,3988.47,3986.75,3987.09,72,17,0
2025-11-06 08:15:00,3986.96,3987.19,3986.38,3986.83,78,16,0
2025-11-06 08:16:00,3986.99,3987.35,3986.02,3986.02,71,16,0
2025-11-06 08:17:00,3985.86,3987.39,3985.68,3986.7,74,16,0
2025-11-06 08:18:00,3986.93,3987.78,3986.69,3986.79,69,16,0
2025-11-06 08:19:00,3986.78,3987.35,3986.26,3986.93,61,16,0
2025-11-06 08:20:00,3986.88,3987.03,3986.09,3986.14,67,16,0
2025-11-06 08:21:00,3986.51,3986.9,3986.28,3986.62,60,16,0
2025-11-06 08:22:00,3986.56,3986.68,3985.41,3985.63,70,16,0
2025-11-06 08:23:00,3985.72,3986.82,3985.72,3986.82,79,16,0
2025-11-06 08:24:00,3986.85,3987.6,3986.56,3987.41,64,16,0
2025-11-06 08:25:00,3987.42,3988.51,3987.42,3988.34,67,16,0
2025-11-06 08:26:00,3988.39,3988.63,3988.09,3988.53,68,16,0
2025-11-06 08:27:00,3988.62,3988.71,3987.02,3987.05,67,17,0
2025-11-06 08:28:00,3987.18,3987.62,3986.78,3987.31,66,14,0
2025-11-06 08:29:00,3987.23,3987.63,3986.95,3987.12,68,16,0
2025-11-06 08:30:00,3987.11,3987.11,3985.38,3985.91,68,16,0
2025-11-06 08:31:00,3985.69,3986.87,3985.18,3986.67,85,16,0
2025-11-06 08:32:00,3986.67,3986.72,3985.73,3985.9,72,16,0
2025-11-06 08:33:00,3985.85,3985.99,3985.34,3985.73,72,16,0
2025-11-06 08:34:00,3985.91,3986.32,3985.91,3986.09,70,16,0
2025-11-06 08:35:00,3986.08,3986.35,3985.89,3985.89,59,17,0
2025-11-06 08:36:00,3986.05,3987.37,3986.03,3987.37,69,17,0
2025-11-06 08:37:00,3987.38,3987.45,3986.73,3986.96,50,17,0
2025-11-06 08:38:00,3986.97,3987.21,3986.12,3986.55,60,17,0
2025-11-06 08:39:00,3986.58,3987.03,3986.19,3986.19,64,17,0
2025-11-06 08:40:00,3986.15,3986.35,3985.43,3985.92,60,17,0
2025-11-06 08:41:00,3985.91,3986.31,3985.28,3986.14,60,8,0
2025-11-06 08:42:00,3986.09,3986.26,3985.11,3985.12,49,17,0
2025-11-06 08:43:00,3985.1,3986.01,3984.88,3985.36,68,16,0
2025-11-06 08:44:00,3985.36,3985.81,3984.21,3984.21,61,16,0
2025-11-06 08:45:00,3984.38,3984.76,3984.21,3984.53,56,16,0
2025-11-06 08:46:00,3984.27,3984.28,3982.2,3982.51,80,6,0
2025-11-06 08:47:00,3982.47,3984.55,3982.43,3984.52,77,16,0
2025-11-06 08:48:00,3984.53,3986.14,3984.53,3985.31,74,16,0
2025-11-06 08:49:00,3985.33,3986.13,3984.92,3985.76,67,16,0
2025-11-06 08:50:00,3985.81,3986.71,3985.81,3986.37,83,16,0
